textbook_id,grade,subject,category,curriculum_relevance,filename,num_pages,file_size_mb,has_selectable_text,is_image_only,ocr_requirement,total_extracted_characters,avg_chars_per_page,relative_path
gseb_std12_12_yoga_health_and_physical_education_e_m_pdf_em,STD-12th,General / Elective,REFERENCE/OTHER,LOW,Std-12 Yoga Health and Physical Education E.M.pdf,112,20.33,False,True,REQUIRED,0,0.0,STD-12th/Std-12 Yoga Health and Physical Education E.M.pdf
gseb_std12_12_computer_studies_eng_pdf_em,STD-12th,Computer Studies,CORE_TEXTBOOK,HIGH,STD-12_COMPUTER_STUDIES_ENG.pdf,288,144.27,False,True,REQUIRED,0,0.0,STD-12th/STD-12_COMPUTER_STUDIES_ENG.pdf
gseb_std12_12_economics_english_medium_pdf_em,STD-12th,Commerce & Economics,CORE_TEXTBOOK,HIGH,Std-12_Economics_English Medium.pdf,162,98.11,False,False,HYBRID_OPTIONAL,2289,14.1,STD-12th/Std-12_Economics_English Medium.pdf
gseb_std12_12_history_english_medium_pdf_em,STD-12th,Social Science & Humanities,CORE_TEXTBOOK,HIGH,STD-12_HISTORY_English Medium.pdf,154,79.02,False,False,HYBRID_OPTIONAL,2433,15.8,STD-12th/STD-12_HISTORY_English Medium.pdf
gseb_std12_12_kaleidoscope_englishmedium_pdf_em,STD-12th,English Literature & Language,CORE_TEXTBOOK,HIGH,Std-12_Kaleidoscope_EnglishMedium.pdf,248,13.09,True,False,NONE,295103,1189.9,STD-12th/Std-12_Kaleidoscope_EnglishMedium.pdf
gseb_std12_12_lapwimg_english_medium_pdf_em,STD-12th,English Literature & Language,CORE_TEXTBOOK,HIGH,Std-12_Lapwimg English Medium.pdf,100,940.82,False,True,REQUIRED,0,0.0,STD-12th/Std-12_Lapwimg English Medium.pdf
gseb_std12_12_psaychology_english_medium_pdf_em,STD-12th,English Literature & Language,CORE_TEXTBOOK,HIGH,Std-12_psaychology English Medium.pdf,144,23.85,False,True,REQUIRED,0,0.0,STD-12th/Std-12_psaychology English Medium.pdf
gseb_std12_12_shrimadbhagwatgita_englishm_pdf_em,STD-12th,English Literature & Language,REFERENCE/OTHER,LOW,Std-12_ShrimadBhagwatGita_EnglishM.pdf,16,8.51,False,True,REQUIRED,0,0.0,STD-12th/Std-12_ShrimadBhagwatGita_EnglishM.pdf
gseb_std12_12_vistas_english_suppl_reader_core_pdf_em,STD-12th,English Literature & Language,SUPPLEMENTARY_TEXTBOOK,MEDIUM,Std-12_Vistas-English Suppl Reader Core.pdf,74,9.95,True,False,NONE,109998,1486.5,STD-12th/Std-12_Vistas-English Suppl Reader Core.pdf
gseb_std9_09_shrimadbhagwatgita_englishm_pdf_em,STD-9th,English Literature & Language,REFERENCE/OTHER,LOW,Std-09_ShrimadBhagwatGita_EnglishM.pdf,16,10.21,False,True,REQUIRED,0,0.0,STD-9th/Std-09_ShrimadBhagwatGita_EnglishM.pdf
gseb_std9_9_beehive_textbook_in_english_pdf_em,STD-9th,English Literature & Language,CORE_TEXTBOOK,HIGH,Std-9 Beehive Textbook In English.pdf,122,9.11,True,False,NONE,159746,1309.4,STD-9th/Std-9 Beehive Textbook In English.pdf
gseb_std9_9_computer_studies_englishmedium_pdf_em,STD-9th,Computer Studies,CORE_TEXTBOOK,HIGH,Std-9 Computer Studies EnglishMedium.pdf,194,106.07,False,True,REQUIRED,0,0.0,STD-9th/Std-9 Computer Studies EnglishMedium.pdf
gseb_std9_9_sanskrit_e_m_pdf_em,STD-9th,Sanskrit Literature,CORE_TEXTBOOK,HIGH,Std-9 Sanskrit E.M.pdf,122,24.7,False,True,REQUIRED,0,0.0,STD-9th/Std-9 Sanskrit E.M.pdf
gseb_std9_9_social_science_englishmedium_pdf_em,STD-9th,Science & Technology,CORE_TEXTBOOK,HIGH,Std-9 Social_Science_EnglishMedium.pdf,174,84.22,False,False,HYBRID_OPTIONAL,5950,34.2,STD-9th/Std-9 Social_Science_EnglishMedium.pdf
gseb_std9_9_yoga_health_and_physical_education_em_pdf_em,STD-9th,General / Elective,REFERENCE/OTHER,LOW,Std-9 Yoga Health and Physical Education EM.pdf,130,28.98,False,True,REQUIRED,814,6.3,STD-9th/Std-9 Yoga Health and Physical Education EM.pdf
gseb_std9_9_dolhin_supplementry_reader_pdf_em,STD-9th,General / Elective,SUPPLEMENTARY_TEXTBOOK,MEDIUM,Std-9_Dolhin_Supplementry_Reader.pdf,118,24.18,False,True,REQUIRED,0,0.0,STD-9th/Std-9_Dolhin_Supplementry_Reader.pdf
gseb_std9_9_farsi_parshian_englishmedium_pdf_em,STD-9th,English Literature & Language,REFERENCE/OTHER,LOW,Std-9_Farsi Parshian_EnglishMedium.pdf,100,29.72,False,True,REQUIRED,340,3.4,STD-9th/Std-9_Farsi Parshian_EnglishMedium.pdf
gseb_std9_9_maths_english_medium_pdf_em,STD-9th,Mathematics,CORE_TEXTBOOK,HIGH,Std-9_Maths_English Medium.pdf,234,75.14,False,True,REQUIRED,2106,9.0,STD-9th/Std-9_Maths_English Medium.pdf
gseb_std9_9_moments_english_suppl_reader_course_b_pdf_em,STD-9th,English Literature & Language,SUPPLEMENTARY_TEXTBOOK,MEDIUM,Std-9_Moments English Suppl Reader Course-B.pdf,73,5.68,True,False,HYBRID_OPTIONAL,64035,877.2,STD-9th/Std-9_Moments English Suppl Reader Course-B.pdf
gseb_std9_9_science_english_medium_pdf_em,STD-9th,Science & Technology,CORE_TEXTBOOK,HIGH,Std-9_Science_English Medium.pdf,167,28.16,True,False,NONE,202025,1209.7,STD-9th/Std-9_Science_English Medium.pdf
